,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,voltage,resistance
0,9,-3,3,-1,12,0,-1,2,3,-2,0.0,1000.0
1,-8,3,4,12,9,5,5,-1,-1,-3,0.0,1000.0
2,4,1,-2,7,7,3,5,-2,-4,3,0.0,1000.0
3,-6,-2,6,12,10,1,-1,1,-3,-3,0.0,1000.0
4,6,-2,-9,-9,10,5,4,-4,-4,-1,0.0,1000.0
5,3,-3,5,-11,5,1,3,4,3,1,0.0,1000.0
6,5,-5,9,-9,-11,4,-3,-4,-3,-2,0.0,1000.0
7,7,4,-9,8,-6,0,0,4,-4,3,0.0,1000.0
8,1,-4,-9,-11,12,0,1,-5,4,-5,0.0,1000.0
9,10,4,12,-2,-1,-5,-2,2,1,-3,0.0,1000.0
10,0,-1,9,2,1,4,0,2,4,2,0.0,1000.0
11,4,2,0,10,-6,3,-2,1,5,0,0.0,1000.0
12,-4,-11,-10,1,-3,0,-2,3,0,3,0.0,1000.0
13,4,-10,-3,8,2,-3,4,0,0,3,24.6,37.0
14,4,8,3,9,2,-2,5,3,4,3,0.0,1000.0
15,2,2,-9,1,2,5,2,-3,-4,-1,0.0,1000.0
16,-1,7,2,4,7,-1,1,3,4,2,0.0,1000.0
17,1,3,10,10,5,-1,-2,0,2,4,0.0,1000.0
18,-2,6,2,-2,-6,3,1,-1,3,-2,0.0,1000.0
19,8,-2,-5,-3,-11,2,-4,-1,3,3,0.0,1000.0
